ii	60	2	0	592671,625028,625497,646196,629405,591600,551886,561385,544962,532758,524417,531695,527261,599542,560242,525630,602431,615142,540548,572622,533726,553227,538433,535296,531629,549101,541333,519227,526300,546524,525908,600020,563240,525717,527349,531449,534764,526126,521615,564762,591966,531377,541194,532598,528292,541665,545507,524647,574584,571495,547041,532190,535482,523042,528465,519347
ii	60	2	1	673141,688501,720486,724944,559733,552825,570303,575111,546682,524564,542689,520523,534530,543951,525206,555148,527076,562973,544345,523612,545269,530110,528390,538354,524853,526937,523000,538246,519758,532886,548565,565567,518815,549884,525051,572214,526926,514927,527059,591104,516473,518620,531001,571291,561688,531204,523089,529584,532927,522172
ii	60	2	2	564137,592187,556688,593705,617456,580337,519901,521411,538004,529172,525735,535282,519030,537448,545065,524988,521883,533769,556522,580654,532403,525444,551062,526953,588185,635688,519744,558399,529926,553645,549764,553150,539202,540189,630219,612182,593815,518733,526150,537399,538890,527325,553684,556256,572995,518851,520532,530104,519238,522743,536189,519810
ii	60	2	3	670176,584587,594319,537196,627649,637614,525669,563537,528586,527269,536511,523467,556899,518321,516558,553818,523993,526820,520321,531624,533153,530365,526726,527511,552826,526561,538631,523130,526095,541932,534224,584793,534447,535497,533815,518958,521771,534137,547598,542858,520085,520015,532572,530351,532608,541361,531395,522145,514507
ii	60	2	4	667962,626727,636105,654331,547265,569296,531621,519425,526946,540437,534852,525421,542469,547886,544568,558941,526982,542533,529100,531698,532644,520140,523173,619250,532050,579126,577167,548668,555019,529842,525617,532345,538437,553478,534864,551019,523256,522432,529645,539430,523048,533556,532304,528181,528373,519883,527185,551983,532828,542486
ii	60	2	5	594582,732768,696026,518393,581191,585726,530310,519864,557517,524977,527168,520010,535202,522218,540873,519686,525934,547441,527749,558087,531095,528386,538910,543723,524480,534914,522671,535537,542280,516985,531910,552113,527635,523526,520083,523480,519379,527835,550526,533293,541503,532486,551424,572466,529873,531887,521792,519732,525605,522998,527205,528657,518190
ii	60	2	6	756636,735097,691522,533572,535846,524567,553971,527149,642787,605029,554929,536387,530202,523416,543884,518119,528982,534472,573262,523601,539702,521521,519165,527946,525277,526286,523006,515979,559225,536691,525438,518173,531330,530616,529315,527032,527206,522055,523360,529572,525255,536102,534199,525445,519799,516919,531074,520384,527300,544875
ii	60	2	7	698981,694152,541460,573719,532129,539100,607497,655885,567514,597147,540522,528053,548927,532057,525033,546628,550784,531876,547779,541541,527172,515683,538448,523798,526554,552721,530413,519661,532687,524221,535572,532911,537828,522394,522030,526679,526896,537633,529711,520760,530558,519901,532274,533630,519171,558079,577065,535891,527302
ii	60	2	8	675967,666656,529813,559884,542080,528415,521971,588221,515513,543895,543685,522499,532223,546819,523378,571351,542845,528115,528522,527992,544578,527497,535696,519447,524835,524228,529428,520973,537959,522799,526691,537965,524880,534197,523776,527230,531244,540359,525896,530891,557447,520522,539775,519639,515373,518168,623591,577199
ii	60	2	9	616091,726540,742980,700094,532452,531082,522506,524915,542590,520005,531613,525834,526835,526973,519054,531878,515342,549088,537486,524830,596309,530291,535013,524345,520323,527538,520010,526694,521313,528772,537645,528190,521825,527474,533094,559451,518365,545748,518670,543920,536742,523712,602985,563662,531709,518809,531493,539432
ii	90	2	0	550753,583400,548843,611497,558539,538735,537152,518717,518364,527012,521049,518621,524236,531758,521103,540032,555990,527523,529833,562747,518692,534446,524808,515478,526932,530722,535657,530352,543831,552966,516717,526457,520102,535798,526065,539200,524867,523406,543118,553679,535807,536312,527131,524131,523986,527129,532126,532531,560162,528660,532999,559069,522784,519948,518174,523325
ii	90	2	1	632233,651100,667596,679320,615258,566887,583163,589692,519684,520652,520527,549069,534259,543312,540592,524399,528203,577162,533091,524709,549111,530936,514577,534050,517360,542026,528427,537548,523827,539622,546512,540100,537402,545453,527681,543158,528943,522906,539749,531506,536614,570282,552149,548362,536483,525922,525482,530314,520531,532816,520065,517694,516123,519192
ii	90	2	2	870364,531442,528291,578885,529899,524667,522638,545487,536770,523475,598955,606812,578336,521014,521307,526403,522981,531388,520325,526462,566311,579271,540110,541696,566937,530682,571229,537232,530196,576036,562869,527241,520410,544803,519336,522785,565896,565345,582941,550745,527676,573167,563317,577187,543612,527201,525558,521884,517675,519319,524229,519996,538719,552276
ii	90	2	3	725089,754166,729640,519826,547620,543925,537991,590636,617524,527482,532865,527367,550348,524662,546389,536748,539149,530252,533903,534719,538175,539768,519060,545347,533879,519717,530906,536033,540108,532506,538903,523559,527018,524482,533877,520778,556391,524331,530628,551375,570890,543813,521899,551564,566866,519797,522556,526166,519825,518891,523263,523424,532097,521228
ii	90	2	4	715789,704050,695407,720227,694742,548208,561935,522414,520194,520572,520664,519935,523777,523900,518508,541002,554611,523021,532265,559139,569209,539835,533887,529238,536228,540827,524001,533538,537314,533548,536739,541412,597619,544341,529453,559487,539289,524649,535478,525713,524996,519345,527708,522379,519376,520388,528420,597675,580921,607975,527373,518620
ii	90	2	5	629504,636337,571450,528008,518786,541169,520045,518713,535633,525454,523699,522414,538645,522634,520041,528779,544621,544605,529154,540116,527589,531303,533039,525507,559665,595738,626929,590005,614550,520875,555274,528931,523661,521400,523252,527944,519208,523620,529908,522837,523652,526415,522327,543335,523775,534968,523484,518834,535801
ii	90	2	6	684464,749470,625792,707654,551290,571341,580061,526617,547331,531624,524715,518439,569223,541841,539961,518282,530321,520656,530040,530370,518936,537401,524001,519051,534668,529794,519554,530391,553928,537226,561158,527658,534710,532968,526020,523421,537975,518473,515410,541458,540463,529044,528640,522776,523758,528232,536920,524328,521711,534953,531366,520916
ii	90	2	7	643278,567519,523515,531326,534952,540615,552208,536178,517976,528663,536648,536843,555312,526081,525470,519754,614399,548283,520323,530226,540020,523124,523281,522884,520718,528975,531393,519694,569688,516610,524193,532611,515090,533746,519161,528400,553706,519537,535015,548325,523071,519845,523588,579604,573130,553275,527668,523246
