ii	90	2	5	728087,751455,748311,694753,556717,581510,538492,548393,529139,521488,555262,524580,527320,531239,531270,518470,527732,546274,523652,574847,529090,565969,530065,546055,529042,520314,530633,542238,561924,539858,527813,530324,536922,531577,533264,539203,525147,533316,531327,555575,567151,532145,526485,527403,578265,580147,578981,531615,531010,534849,540294,542857,524584,527537,520790,540604
ii	90	2	6	628112,656969,633957,578599,604676,595972,545439,577574,531508,529593,576524,532705,524329,533841,534752,541614,536185,523271,531040,556645,523240,557074,571731,526867,541504,560521,526245,532572,552306,577501,527132,529987,537918,527555,526469,524959,524371,542022,523067,525690,536383,537820,528204,526373,534685,518255,531769,538023,534811,539796,515836,546535,555970
ii	90	2	7	679466,722612,649104,530622,528765,534068,522842,536746,519196,567946,545496,630934,528302,560762,594729,539250,537608,523188,519693,540769,522663,522451,545485,550312,534819,526885,521818,523692,535152,533595,540135,538930,528997,529941,541603,523072,541186,519412,530480,524285,520554,536063,526710,531826,541110,544906,526411,540804,521420,527589,531998,525599,521369,569475,586116,538392
ii	90	2	8	815585,854497,818799,538327,522671,519023,533073,523891,530623,525846,540282,520138,534627,529171,527111,527974,527558,529005,532294,519801,540089,520251,521129,530260,544204,534916,556454,552383,553646,538583,527349,594724,601671,556028,530549,538682,520088,535827,521625,574781,571504,522265,595469,546153,521054,523127,535785,522352,520684
ii	90	2	9	677240,676262,610283,592067,599267,525312,529478,525721,536926,522618,528740,523255,550519,526951,528675,527827,527334,540635,552698,530256,519904,539202,536055,518636,526045,519945,529721,524830,536725,537087,524482,519162,522433,524812,539574,522397,520663,543551,531572,526069,528390,521968,523974,521077,523738,527663,519737,547266,529026,519287,522694
ii	120	2	0	606371,610529,582198,610285,531670,521781,529805,547980,529418,519174,514205,526425,534805,527081,528360,555791,536707,537344,534362,525303,524589,526750,522070,521950,529627,523479,554544,551780,526488,527633,527126,522400,546366,528301,523926,531449,515807,551616,522101,529265,526665,534621,546197,526874,522321,552610,518486,530865
ii	120	2	1	676356,702265,603146,536031,523275,523369,545369,520110,543510,536719,528118,519966,538206,515159,521797,542408,519254,530026,525929,553164,534109,530516,527059,527256,524561,520204,561556,517786,539391,526770,524826,527304,559058,532875,519650,534991,526981,539262,519783,543359,539822,527942,526376,524798,522327,527404,530179,549648,526612,520827,529716,523467,523166,530711,521234,522356,520212,523774
ii	120	2	2	639906,698563,737725,690984,684319,550087,614496,647416,634001,635962,530276,526564,522300,527568,518541,540681,523788,523199,522873,525526,528030,522495,524392,570710,527978,664229,533108,527923,571897,582410,549714,522533,560190,543743,524932,529612,527173,542140,533568,530890,527935,524760,525031,544461,527662,522473,526573,527469,532890,533486,529547,520748,522244,528183,519003,543973,515294,523642,519042,522777
ii	120	2	3	591565,671312,669970,695221,655606,523883,595317,567336,546918,519849,520073,533403,538824,521844,534815,529863,519454,549870,534460,522494,539177,536274,517917,534465,523670,525015,537347,549433,519968,530262,527412,531458,548381,548532,565938,532713,522210,523077,528025,547681,530249,523602,571015,549396,526245,533431,542211,519345,524104,537414,519660,515153
ii	120	2	4	616644,631453,643218,563647,526436,547110,545997,531804,534043,527114,573751,517922,516344,519986,528499,519646,536338,533164,534038,522490,526637,527032,515493,540679,548186,533932,517170,550280,533673,530931,528309,517860,542514,524981,519184,523545,526445,525504,534355,522754,534582,521239,518386,543034,521678,543591,534949,537253,542839,578085,525052,515085
